"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DD10","SOT-23","43.425mm","39.2mm","43.425mm","39.2mm","42.475mm","40.2mm","B","270.00","MAX809SD or IMP809SEUR"
"R19","RESC1005[0402]","29.825mm","48.4mm","29.825mm","48.4mm","29.3mm","48.4mm","T","360.00","ERJ-2RKF2400X"
"R15","RESC1005[0402]","26.925mm","48.4mm","26.925mm","48.4mm","26.4mm","48.4mm","T","360.00","ERJ-2RKF2400X"
"C35","C0402_IPC_High_Density","33.125mm","27.1mm","33.125mm","27.1mm","33.125mm","27.6mm","B","270.00","GRM155R71C104KA88"
"VD14","SOT-23","3mm","34.3mm","3mm","34.3mm","2.05mm","35.3mm","B","270.00","BAV99"
"VD13","SOT-23","11.05mm","34.3mm","11.05mm","34.3mm","10.1mm","35.3mm","B","270.00","BAV99"
"VD12","SOT-23","7.1mm","34.3mm","7.1mm","34.3mm","6.15mm","35.3mm","B","270.00","BAV99"
"C141","C0603","14.2752mm","1.5001mm","14.3mm","1.5mm","13.4751mm","1.5001mm","T","360.00","GRM188R60J106ME47"
"C140","CAPC2012[0805]","10mm","3.4mm","10mm","3.4mm","9.1mm","3.4mm","B","360.00","GRM21BR61E475KA12"
"C123","CAPC2012[0805]","6mm","11.9mm","6mm","11.9mm","6mm","11mm","B","90.00","GRM21BR61E475KA12"
"C92","CAPC2012[0805]","10mm","1.3mm","10mm","1.3mm","9.1mm","1.3mm","B","360.00","GRM21BR61E475KA12"
"C91","CAPC2012[0805]","13.8mm","3.4mm","13.8mm","3.4mm","14.7mm","3.4mm","B","180.00","GRM21BR61E475KA12"
"DD7","SO-8_L","53.8001mm","9.1252mm","53.8001mm","9.1252mm","55.7051mm","11.4752mm","T","270.00","PCF8563T/5"
"C1","C0603","23.3249mm","27.5752mm","23.325mm","27.6mm","23.3249mm","26.7751mm","T","90.00","GRM188R60J106ME47"
"C3","C0402_IPC_High_Density","34.8499mm","26.225mm","34.8499mm","26.225mm","35.3499mm","26.225mm","B","180.00","GRM155R71C104KA88"
"R74","RESC1005[0402]","79.4499mm","30.55mm","79.4499mm","30.55mm","79.4499mm","30.025mm","B","90.00","ERJ-2RKF4751X"
"R66","RESC1005[0402]","61.6499mm","19.625mm","61.6499mm","19.625mm","61.6499mm","19.1mm","B","90.00","ERJ-2RKF4751X"
"C107","C0603","48.325mm","6.7249mm","48.3499mm","6.725mm","47.525mm","6.7249mm","B","360.00","GRM188R60J106ME47"
"VD5","SOT-23","69.9mm","18.2mm","69.9mm","18.2mm","70.9mm","19.15mm","B","180.00","BAT54C-G"
